CustomId,Part Number,Colors,filename
0,1,"['Blue', 'Red', 'White', 'Yellow']",1.dat
1,104,['Chrome Silver'],104.dat
2,30322,"['Blue', 'Red']",30322.dat
3,10p01,['Green'],10p01.dat
4,10p02,['Green'],10p02.dat
5,10p03,['Red'],10p03.dat
6,10p04,['Green'],10p04.dat
7,10p05,['Green'],10p05.dat
8,122c01,"['Black', 'Light Bluish Gray', 'Light Gray']",122c01.dat
9,122c02,['Black'],122c02.dat
10,14,['White'],14.dat
11,15,"['Black', 'Blue', 'Red', 'White', 'Yellow']",15.dat
12,17,"['Black', 'Blue', 'Red', 'White']",17.dat
13,194,"['Green', 'Light Bluish Gray', 'Light Gray', 'Yellow', 'Black']",194.dat
14,2,"['Blue', 'Red', 'White']",2.dat
15,200,['Black'],200.dat
16,202,"['Black', 'Blue', 'White']",202.dat
17,21,['Trans-Clear'],21.dat
18,2335,"['Black', 'Blue', 'Bright Light Orange', 'Dark Bluish Gray', 'Dark Gray', 'Dark Red', 'Dark Tan', 'Green', 'Light Bluish Gray', 'Light Gray', 'Lime', 'Red', 'Reddish Brown', 'Rust', 'Tan', 'White', 'Yellow']",2335.dat
19,2335p01,['White'],2335p01.dat
20,2335p02,['White'],2335p02.dat
21,2335p03,['White'],2335p03.dat
22,2335p04,['White'],2335p04.dat
23,2335p43,['Blue'],2335p43.dat
24,2335p44,['Red'],2335p44.dat
25,2336,"['Black', 'Orange', 'Red', 'White']",2336.dat
26,2336p68,['Red'],2336p68.dat
27,2336p90,['White'],2336p90.dat
28,2337,"['Black', 'Light Gray', 'Trans-Dark Blue', 'Trans-Neon Green', 'Trans-Neon Orange', 'Trans-Red', 'Trans-Yellow', 'Trans-Brown']",2337.dat
29,2340,"['Black', 'Blue', 'Bright Light Orange', 'Dark Blue', 'Dark Bluish Gray', 'Dark Gray', 'Dark Orange', 'Dark Turquoise', 'Light Bluish Gray', 'Light Gray', 'Magenta', 'Medium Azure', 'Orange', 'Red', 'Reddish Brown', 'White', 'Yellow']",2340.dat
30,2341,"['Black', 'Brown', 'Dark Bluish Gray', 'Dark Gray', 'Dark Purple', 'Dark Red', 'Light Bluish Gray', 'Light Gray', 'Medium Azure', 'Red', 'Tan', 'White', 'Yellow']",2341.dat
31,2342,"['Black', 'Blue', 'Brown', 'Dark Gray', 'Dark Turquoise', 'Green', 'Light Gray', 'Red', 'Tan', 'White', 'Yellow', 'Light Bluish Gray']",2342.dat
32,2343,"['Black', 'Blue', 'Brown', 'Dark Gray', 'Dark Orange', 'Dark Pink', 'Green', 'Light Bluish Gray', 'Light Gray', 'Lime', 'Red', 'Tan', 'White', 'Yellow', 'Trans-Clear', 'Trans-Green', 'Flat Dark Gold', 'Flat Silver', 'Pearl Gold', 'Pearl Light Gold', 'Metallic Gold', 'Trans-Light Blue']",2343.dat
33,2345,"['Black', 'Brown', 'Dark Gray', 'Light Bluish Gray', 'Light Gray', 'Red', 'Reddish Brown', 'White', 'Yellow']",2345.dat
34,2345p01,['Red'],2345p01.dat
35,2345p44,['Black'],2345p44.dat
36,2346,"['Black', 'Light Gray']",2346.dat
37,2348a,"['Trans-Clear', 'Trans-Light Blue']",2348a.dat
38,2348b,"['Trans-Clear', 'Trans-Dark Blue', 'Trans-Light Blue']",2348b.dat
39,2349,"['Black', 'Blue', 'Dark Gray', 'Green', 'Light Gray', 'Red', 'Tan', 'White', 'Yellow']",2349.dat
40,2350a,"['Blue', 'Red', 'Yellow']",2350a.dat
41,2351,"['Black', 'Light Gray', 'Red', 'White']",2351.dat
42,2352,"['Blue', 'Pink', 'Red', 'Yellow']",2352.dat
43,2356,"['Black', 'Blue', 'Dark Gray', 'Green', 'Light Bluish Gray', 'Light Gray', 'Red', 'Sand Green', 'Violet', 'White', 'Yellow', 'Dark Blue', 'Purple']",2356.dat
44,2357,"['Black', 'Blue', 'Bright Light Orange', 'Brown', 'Dark Blue', 'Dark Bluish Gray', 'Dark Gray', 'Dark Orange', 'Dark Pink', 'Dark Purple', 'Dark Red', 'Dark Tan', 'Green', 'Lavender', 'Light Aqua', 'Light Bluish Gray', 'Light Gray', 'Light Nougat', 'Maersk Blue', 'Magenta', 'Medium Azure', 'Medium Blue', 'Medium Green', 'Medium Lavender', 'Nougat', 'Olive Green', 'Orange', 'Red', 'Reddish Brown', 'Sand Blue', 'Sand Green', 'Sand Red', 'Tan', 'White', 'Yellow', 'Trans-Clear', 'Pearl Light Gray', 'Bright Light Blue', 'Light Orange', 'Lime', 'Trans-Dark Blue']",2357.dat
45,2358p02,['Green'],2358p02.dat
46,2359p01,['Light Gray'],2359p01.dat
47,2360p01,['Light Gray'],2360p01.dat
48,2361p01,['Light Gray'],2361p01.dat
49,2362,"['Black', 'Brown', 'Dark Gray', 'Light Bluish Gray', 'Light Gray']",2362.dat
50,2375,"['Black', 'Blue', 'Dark Gray', 'Red', 'Tan', 'White', 'Yellow']",2375.dat
51,2376,"['Black', 'Blue', 'Light Gray', 'Red', 'White']",2376.dat
52,2377,"['Black', 'Blue', 'Brown', 'Dark Bluish Gray', 'Dark Red', 'Light Bluish Gray', 'Orange', 'Pink', 'Red', 'Reddish Brown', 'Tan', 'White', 'Yellow']",2377.dat
53,2397,"['Black', 'Blue', 'Dark Bluish Gray', 'Dark Red', 'Green', 'Lavender', 'Light Bluish Gray', 'Light Gray', 'Magenta', 'Medium Azure', 'Orange', 'Red', 'Tan', 'White', 'Yellow', 'Trans-Clear']",2397.dat
54,2399,"['Black', 'Blue', 'Brown', 'Dark Gray', 'Dark Red', 'Light Bluish Gray', 'Light Gray', 'Maersk Blue', 'Orange', 'Red', 'White', 'Yellow']",2399.dat
55,2400,"['Black', 'Brown', 'Reddish Brown']",2400.dat
56,2401,"['Black', 'Blue', 'Light Gray', 'Red', 'White', 'Yellow']",2401.dat
57,2408,"['White', 'Trans-Dark Blue', 'Trans-Neon Green']",2408.dat
58,2408p01,['Trans-Neon Green'],2408p01.dat
59,2409,"['Trans-Dark Blue', 'Trans-Green', 'Trans-Neon Green', 'Trans-Neon Orange', 'Trans-Yellow']",2409.dat
