CustomId,Color,Colors,Is_Translucent
0,Black,"(0.0015176349177441874, 0.006512090792594475, 0.012286488356915872, 1.0)",f
1,Blue,"(0.0, 0.09084171118340768, 0.5209955732043543, 1.0)",f
2,Green,"(0.016807375752887384, 0.18782077230067787, 0.052860647023180246, 1.0)",f
3,Dark Turquoise,"(0.0, 0.27467731206038465, 0.3277780980565422, 1.0)",f
4,Red,"(0.5840784178911641, 0.010329823029626936, 0.0027317428519395373, 1.0)",f
5,Dark Pink,"(0.5775804404296506, 0.162029375639111, 0.35153259950043936, 1.0)",f
6,Brown,"(0.09758734714186246, 0.04091519690685319, 0.0202885630566524, 1.0)",f
7,Light Gray,"(0.3277780980565422, 0.3564001441459435, 0.33716361504833037, 1.0)",f
8,Dark Gray,"(0.15292615199615017, 0.1559264637078274, 0.10702310297826761, 1.0)",f
9,Light Blue,"(0.45641102318040466, 0.6444796819705821, 0.768151147247507, 1.0)",f
10,Bright Green,"(0.07036009569659588, 0.3467040563550296, 0.06847816984440017, 1.0)",f
11,Light Turquoise,"(0.09084171118340768, 0.3762621229909065, 0.4286904966139066, 1.0)",f
12,Salmon,"(0.8879231178819663, 0.162029375639111, 0.1119324278369056, 1.0)",f
13,Pink,"(0.9734452903984125, 0.30946892281750854, 0.41254261348390375, 1.0)",f
14,Yellow,"(0.8879231178819663, 0.6104955708078648, 0.0382043715953465, 1.0)",f
15,White,"(1.0, 1.0, 1.0, 1.0)",f
17,Light Green,"(0.5394794890121072, 0.7011018919329731, 0.4793201831008268, 1.0)",f
18,Light Yellow,"(0.9646862478944651, 0.7912979403326302, 0.3049873140698863, 1.0)",f
19,Tan,"(0.7758222183174236, 0.6104955708078648, 0.3419144249086609, 1.0)",f
20,Light Violet,"(0.5840784178911641, 0.5906188409193369, 0.7605245046752924, 1.0)",f
21,Glow In Dark Opaque,"(0.6583748172794485, 0.665387298282272, 0.5840784178911641, 1.0)",f
22,Purple,"(0.2195261997292692, 0.0, 0.19806931955994886, 1.0)",f
23,Dark Blue-Violet,"(0.014443843596092545, 0.03189603307301153, 0.43415363617474895, 1.0)",f
25,Orange,"(0.9911020971138298, 0.25415209433082675, 0.009134058702220787, 1.0)",f
26,Magenta,"(0.2874408377269175, 0.04091519690685319, 0.18782077230067787, 1.0)",f
27,Lime,"(0.4969329950608704, 0.8148465722161012, 0.003346535763899161, 1.0)",f
28,Dark Tan,"(0.3005437944157765, 0.25415209433082675, 0.1714411007328226, 1.0)",f
29,Bright Pink,"(0.7758222183174236, 0.4178850708481375, 0.5775804404296506, 1.0)",f
30,Medium Lavender,"(0.41254261348390375, 0.18782077230067787, 0.4910208498478356, 1.0)",f
